,prx,time (s),epc96
286,-40,43.422901,e280116060000205403ddcdb
1791,-49,43.435865,e280116060000209e445f02a
287,-39,43.44782,e280116060000205403ddcdb
1792,-49,43.461111,e280116060000209e445f02a
288,-32,43.473713,e280116060000205403ddcdb
289,-32,43.485795,e280116060000205403ddcdb
1793,-48,43.498102,e280116060000209e445f02a
1794,-48,43.510106,e280116060000209e445f02a
1795,-48,43.522817,e280116060000209e445f02a
290,-32,43.534753,e280116060000205403ddcdb
291,-31,43.552931,e280116060000205403ddcdb
1796,-50,43.568871,e280116060000209e445f02a
292,-30,43.580714,e280116060000205403ddcdb
293,-32,43.595985,e280116060000205403ddcdb
1797,-51,43.608231,e280116060000209e445f02a
294,-30,43.622138,e280116060000205403ddcdb
1798,-51,43.636147,e280116060000209e445f02a
295,-32,43.648282,e280116060000205403ddcdb
296,-32,43.661783,e280116060000205403ddcdb
297,-32,43.675535,e280116060000205403ddcdb
298,-39,43.68799,e280116060000205403ddcdb
299,-39,43.701728,e280116060000205403ddcdb
1799,-50,43.715937,e280116060000209e445f02a
300,-40,43.730871,e280116060000205403ddcdb
1800,-50,43.757467,e280116060000209e445f02a
301,-32,43.76997,e280116060000205403ddcdb
302,-32,43.783015,e280116060000205403ddcdb
1801,-50,43.795134,e280116060000209e445f02a
1802,-50,43.807464,e280116060000209e445f02a
303,-30,43.824112,e280116060000205403ddcdb
304,-32,43.837515,e280116060000205403ddcdb
305,-32,43.849724,e280116060000205403ddcdb
1803,-49,43.864839,e280116060000209e445f02a
306,-41,43.877859,e280116060000205403ddcdb
1804,-50,43.894042,e280116060000209e445f02a
1805,-50,43.905893,e280116060000209e445f02a
307,-45,43.920405,e280116060000205403ddcdb
1806,-50,43.936348,e280116060000209e445f02a
1807,-50,43.949203,e280116060000209e445f02a
1808,-48,43.961459,e280116060000209e445f02a
1809,-48,43.978513,e280116060000209e445f02a
1810,-48,43.991456,e280116060000209e445f02a
1811,-48,44.00395,e280116060000209e445f02a
1812,-48,44.016108,e280116060000209e445f02a
308,-44,44.028807,e280116060000205403ddcdb
309,-44,44.044615,e280116060000205403ddcdb
310,-44,44.056856,e280116060000205403ddcdb
1813,-48,44.069153,e280116060000209e445f02a
311,-44,44.081362,e280116060000205403ddcdb
312,-44,44.094183,e280116060000205403ddcdb
313,-45,44.106076,e280116060000205403ddcdb
314,-44,44.118408,e280116060000205403ddcdb
315,-44,44.131199,e280116060000205403ddcdb
316,-45,44.144509,e280116060000205403ddcdb
